location_id,loc_date,latitude,longitude,date,temp_max,temp_min,precip,precip_hours,wind_max,weather_code,provider
1,1-2026-01-01,37.8037,-122.4368,2026-01-01,15.1,9.6,13.3,21.0,16.5,61,open_meteo
1,1-2026-01-02,37.8037,-122.4368,2026-01-02,15.9,12.1,10.1,9.0,31.5,63,open_meteo
1,1-2026-01-03,37.8037,-122.4368,2026-01-03,15.6,12.9,3.8,11.0,30.3,55,open_meteo
1,1-2026-01-04,37.8037,-122.4368,2026-01-04,12.9,10.4,21.6,20.0,22.3,63,open_meteo
1,1-2026-01-05,37.8037,-122.4368,2026-01-05,13.1,10.2,21.1,20.0,24.4,63,open_meteo
1,1-2026-01-06,37.8037,-122.4368,2026-01-06,15.0,10.6,2.6,9.0,13.8,53,open_meteo
1,1-2026-01-07,37.8037,-122.4368,2026-01-07,14.1,10.1,0.1,1.0,20.2,51,open_meteo
1,1-2026-01-08,37.8037,-122.4368,2026-01-08,12.9,8.1,0.0,0.0,21.6,2,open_meteo
1,1-2026-01-09,37.8037,-122.4368,2026-01-09,12.4,5.9,0.0,0.0,13.4,3,open_meteo
1,1-2026-01-10,37.8037,-122.4368,2026-01-10,13.5,5.6,0.0,0.0,12.8,3,open_meteo
1,1-2026-01-11,37.8037,-122.4368,2026-01-11,14.4,6.7,0.0,0.0,10.6,3,open_meteo
1,1-2026-01-12,37.8037,-122.4368,2026-01-12,13.9,6.2,0.0,0.0,14.7,3,open_meteo
1,1-2026-01-13,37.8037,-122.4368,2026-01-13,15.5,6.1,0.0,0.0,12.1,1,open_meteo
1,1-2026-01-14,37.8037,-122.4368,2026-01-14,16.3,6.8,0.0,0.0,14.1,0,open_meteo
1,1-2026-01-15,37.8037,-122.4368,2026-01-15,17.8,7.1,0.0,0.0,12.4,0,open_meteo
1,1-2026-01-16,37.8037,-122.4368,2026-01-16,18.0,7.2,0.0,0.0,12.3,0,open_meteo
1,1-2026-01-17,37.8037,-122.4368,2026-01-17,16.4,8.1,0.0,0.0,12.9,3,open_meteo
1,1-2026-01-18,37.8037,-122.4368,2026-01-18,16.5,7.7,0.0,0.0,11.9,3,open_meteo
1,1-2026-01-19,37.8037,-122.4368,2026-01-19,16.3,6.5,0.0,0.0,11.0,3,open_meteo
1,1-2026-01-20,37.8037,-122.4368,2026-01-20,13.9,7.8,0.0,0.0,13.0,3,open_meteo
1,1-2026-01-21,37.8037,-122.4368,2026-01-21,12.7,8.1,0.0,0.0,10.4,3,open_meteo
1,1-2026-01-22,37.8037,-122.4368,2026-01-22,14.1,7.9,0.0,0.0,10.4,3,open_meteo
1,1-2026-01-23,37.8037,-122.4368,2026-01-23,13.1,9.8,0.0,0.0,9.5,3,open_meteo
1,1-2026-01-24,37.8037,-122.4368,2026-01-24,17.0,7.3,0.0,0.0,13.8,3,open_meteo
1,1-2026-01-25,37.8037,-122.4368,2026-01-25,11.5,5.4,0.0,0.0,13.7,3,open_meteo
1,1-2026-01-26,37.8037,-122.4368,2026-01-26,14.6,6.1,0.0,0.0,11.8,3,open_meteo
1,1-2026-01-27,37.8037,-122.4368,2026-01-27,16.2,6.0,0.2,1.0,13.1,51,open_meteo
1,1-2026-01-28,37.8037,-122.4368,2026-01-28,16.5,10.6,1.5,4.0,12.0,53,open_meteo
1,1-2026-01-29,37.8037,-122.4368,2026-01-29,16.6,6.5,0.0,0.0,14.8,3,open_meteo
1,1-2026-01-30,37.8037,-122.4368,2026-01-30,15.9,7.7,0.0,0.0,16.2,3,open_meteo
1,1-2026-01-31,37.8037,-122.4368,2026-01-31,15.4,7.8,0.0,0.0,12.8,3,open_meteo
1,1-2026-02-01,37.8037,-122.4368,2026-02-01,16.0,7.4,0.0,0.0,10.1,3,open_meteo
1,1-2026-02-02,37.8037,-122.4368,2026-02-02,15.9,6.4,0.0,0.0,8.6,3,open_meteo
1,1-2026-02-03,37.8037,-122.4368,2026-02-03,18.4,7.2,0.0,0.0,14.8,3,open_meteo
1,1-2026-02-04,37.8037,-122.4368,2026-02-04,19.2,7.6,0.0,0.0,14.5,0,open_meteo
1,1-2026-02-05,37.8037,-122.4368,2026-02-05,19.8,7.8,0.0,0.0,10.8,3,open_meteo
1,1-2026-02-06,37.8037,-122.4368,2026-02-06,18.4,10.4,0.0,0.0,10.7,3,open_meteo
1,1-2026-02-07,37.8037,-122.4368,2026-02-07,16.6,10.6,0.0,0.0,13.9,3,open_meteo
1,1-2026-02-08,37.8037,-122.4368,2026-02-08,16.1,10.2,0.0,0.0,18.4,3,open_meteo
1,1-2026-02-09,37.8037,-122.4368,2026-02-09,18.4,9.7,0.0,0.0,16.0,3,open_meteo
